Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Other,Bronxwood Avenue & Allerton Avenue,Bronx,02/05/2020 19:36,02/05/2020 21:23,40.865544,-73.861551
Utility-Manhole,3021 Brighton 8th Street,Brooklyn,02/04/2020 11:34,02/05/2020 22:38,40.57935972,-73.96048233
Utility-Gas High Pressure,119 Ave & 199 St,Queens,02/06/2020 10:56,02/06/2020 11:46,40.691439,-73.752111
HazMat-Chemical,West 9th Street  & Avenue S,Brooklyn,02/06/2020 12:04,02/06/2020 13:34,40.600836,-73.9812195
Utility-Gas Main Rupture,545 Vanderbilt Avenue,Brooklyn,02/08/2020 11:37,02/08/2020 12:10,40.68188054,-73.96741787
Utility-Manhole,Broadway  & West 111 St,Manhattan,02/07/2020 8:50,02/09/2020 22:12,40.804857,-73.966302
Transportation-Other,Cross Bronx Expressway  & 3rd Avenue,Bronx,02/10/2020 14:55,,40.843809,-73.8976185
Utility-Power Outage,2945 West 23 Street,Brooklyn,02/06/2020 0:50,02/10/2020 20:07,40.5749674,-73.98985625
Utility-Water Main,300 Scholes Street,Brooklyn,02/10/2020 11:48,02/10/2020 20:27,40.70940913,-73.93630553
Fire-3rd Alarm,48 east 7th street,Manhattan,02/10/2020 15:59,02/11/2020 6:11,40.72789408,-73.98808425
Fire-2nd Alarm,4714 New Utrecht Avenue,Brooklyn,02/12/2020 0:48,02/12/2020 3:15,40.63799183,-73.99460447
Fire-10-76 (Commercial High Rise Fire),401 Broadway,Manhattan,02/14/2020 08:57:07 AM,02/14/2020 10:19:07 AM,40.80843002,-73.96340263
Fire-5th Alarm,1555 Grand Concourse,Bronx,10/04/2019 20:39,,40.84228477,-73.91246178
Fire-Collapse,60 Norfolk Street,Manhattan,10/21/2019 10:07:20 AM,,40.71725174,-73.98789548
Fire-10-76 (Commercial High Rise Fire),108 West 25th Street,New York,02/15/2020 10:45:32 PM,02/16/2020 12:21:23 AM,40.74439671,-73.99243767
Fire-Haz Mat,947 Gates Avenue,Brooklyn,02/16/2020 10:54:31 AM,02/16/2020 12:03:30 PM,40.68885798,-73.92785135
Fire-10-77 (Residential High Rise Fire),8 stone steet,Manhattan,02/16/2020 07:01:57 PM,02/16/2020 08:03:57 PM,40.70395442,-74.01248594
Structural-Sidewalk Shed,24 Murray Street,Manhattan,02/17/2020 07:39:53 AM,02/17/2020 08:03:49 AM,40.7135196,-74.00839172
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/2016 11:25:52 AM,12/20/2016 12:45:40 PM,40.71400364,-73.82998933
Fire-1st Alarm,111 N 12 Street,Brooklyn,03/26/2017 06:38:05 PM,03/26/2017 07:11:51 PM,,
Structural-Partial Collapse,120 West 125 Street,Manhattan,06/22/2017 05:29:05 PM,06/22/2017 10:48:26 PM,40.71442154,-74.00607638
Fire-1st Alarm,305 East 51 Street,Manhattan,09/24/2017 04:56:26 PM,09/24/2017 06:43:50 PM,40.75534516,-73.96762095
Utility-Power Outage,238th Street & 129th Avenue,Queens,11/16/2017 08:58:10 PM,11/17/2017 01:14:15 AM,,
Fire-10-76 (Commercial High Rise Fire),330 Madison Ave,Manhattan,12/21/2018 10:45:52 AM,12/21/2018 05:33:16 PM,40.75298543,-73.97918825
Utility-Water Main,West 99 Street  & Broadway,Manhattan,01/31/2019 09:53:28 AM,01/31/2019 10:17:06 PM,,
Fire-10-76 (Commercial High Rise Fire),280 Broadway,Manhattan,02/17/2020 12:26:03 PM,02/17/2020 05:31:30 PM,40.80745215,-73.96411912
Fire-Haz Mat,135-11 135 Avenue,Queens,02/17/2020 02:05:17 PM,02/17/2020 05:48:57 PM,40.66772194,-73.80317202
Fire-1st Alarm,2240 grand concourse,Bronx,02/17/2020 04:33:08 PM,02/17/2020 08:45:35 PM,40.85639125,-73.90034864
Law Enforcement-Suspicious Package,10 West 195th Street,Bronx,02/18/2020 10:53:21 AM,02/18/2020 11:55:15 AM,40.86900045,-73.89756114
Utility-Gas High Pressure,68-22 Main Street,queens,02/19/2020 12:18:08 PM,02/19/2020 06:38:56 PM,40.73255205,-73.82504032
Structural-Street Collapse,109-02 Guy R Brewer Blvd,Queens,02/19/2020 03:53:37 PM,02/19/2020 07:11:36 PM,40.69485937,-73.79003625
Utility-Water Main,East 28th Street  & Park Avenue South,Manhattan,02/20/2020 03:39:26 AM,02/20/2020 03:37:43 PM,40.743333,-73.9841085
Structural-Construction Accident,147-05 95th Avenue,Queens,02/20/2020 12:03:43 PM,02/20/2020 04:57:44 PM,40.69856426,-73.80624932
Utility-Gas High Pressure,10 Rockaway Parkway,Brooklyn,02/21/2020 11:53:30 AM,02/21/2020 02:14:36 PM,40.6656705,-73.92529406
Fire-10-76 (Commercial High Rise Fire),620 Eighth Avenue,New York,02/21/2020 10:26:25 PM,02/21/2020 11:54:13 PM,40.75630713,-73.99043369
Fire-1st Alarm,Cadman Plaza W & Old Fulton Street,Brooklyn,02/21/2020 11:56:32 PM,02/22/2020 12:10:53 AM,40.701015,-73.9912905
Structural-Other,864 Flatbush Avenue,Brooklyn,02/23/2020 05:48:15 AM,02/23/2020 07:19:06 AM,40.65114554,-73.95893267
Law Enforcement-Device,1514 Sedwick Avenue,Bronx,02/24/2020 02:11:35 PM,02/24/2020 03:10:45 PM,40.84649376,-73.92501235
Utility-Water Service Line,253 Greenpoint Avenue,Brooklyn,02/24/2020 10:28:21 AM,02/24/2020 08:25:04 PM,40.73067579,-73.94958445
Utility-Water Service Line,1740 Madison Avenue,Manhattan,02/23/2020 10:16:30 PM,02/25/2020 07:01:30 AM,40.79897044,-73.94565733
Utility-Water Service Line,432 Nome Avenue,Staten Island,02/24/2020 08:34:41 PM,02/25/2020 08:13:31 AM,40.58973078,-74.16418586
HazMat-High Carbon Monoxide,16311 19 avenue,Queens,02/25/2020 03:43:31 PM,02/25/2020 05:06:50 PM,40.7808827,-73.79970372
Utility-Water Service Line,1734 Madison Avenue,Manhattan,02/25/2020 03:21:36 PM,02/25/2020 09:11:37 PM,40.7987844,-73.94578991
Fire-1st Alarm,150-08 liberty ave,queens,02/26/2020 11:11:52 AM,02/26/2020 12:59:41 PM,40.69797583,-73.80210089
Utility-Gas High Pressure,Van Wyck & 101 ave,Queens,02/26/2020 10:26:26 AM,02/26/2020 05:46:34 PM,40.693977,-73.811862
Structural-Collapse,891 East 175th Street,Bronx,02/26/2020 05:49:18 PM,02/26/2020 08:55:01 PM,40.839804,-73.887534
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/2016 07:16:23 AM,12/20/2016 03:48:07 PM,40.6268184,-73.98983949
Law Enforcement-Suspicious Package,800 2 Avenue,Manhattan,09/15/2017 02:37:12 PM,09/25/2017 01:05:42 PM,40.75018796,-73.97191431
Utility-Manhole,Park Row & Broadway,Manhattan,12/12/2017 7:34,12/12/2017 19:00,40.711392,-74.0086335
Fire-2nd Alarm,3007 Colden Avenue,Bronx,01/13/2018 01:52:03 AM,01/13/2018 03:21:22 AM,40.86996401,-73.85950931
Rescue-Technical,112-16 Astoria Blvd,Queens,12/03/2018 15:39,12/03/2018 16:55,40.75959849,-73.85810786
Utility-Gas High Pressure,,Brooklyn,02/07/2019 12:47,02/07/2019 13:04,,
Structural-Other,1582 allerton Avenue,bronx,02/12/2019 18:01,02/12/2019 19:53,40.86512153,-73.84035497
Law Enforcement-Suspicious Package,94th Street  & LaGuardia Road,Queens,02/27/2020 07:06:53 AM,02/27/2020 07:39:44 AM,40.772133,-73.8761085
Utility-Gas Service Line,540 Fulton Street,Brooklyn,02/27/2020 12:25:57 PM,02/27/2020 02:26:55 PM,40.68888814,-73.98111604
Transportation-Tanker Truck,Staten Island Expressway  & Bradley Avenue,Staten Island,02/28/2020 05:43:19 AM,02/28/2020 08:39:17 AM,40.608072,-74.1320505
Structural-Scaffold,527 Grand Street,Brooklyn,02/27/2020 02:49:27 PM,02/28/2020 11:00:19 AM,40.71107497,-73.95018395
Fire-2nd Alarm,372 Ten Eyck Street,Brooklyn,02/28/2020 12:32:51 PM,02/28/2020 04:21:35 PM,40.71187617,-73.9349849
Fire-2nd Alarm,165th Avenue  & 84th Street,Queens,02/29/2020 03:25:03 PM,02/29/2020 07:21:31 PM,40.647933,-73.8457785
Fire-Brush,Florence Avenue & Gerritson Avenue,Brooklyn,03/01/2020 16:10,03/01/2020 18:28,40.592187,-73.9244205
HazMat-High Carbon Monoxide,86 Mulberry Street,Brooklyn,03/01/2020 22:40,03/01/2020 23:53,40.71663753,-73.99883832
Fire-5th Alarm,70 Mulberry Street,Manhattan,01/23/2020 09:00:40 PM,03/02/2020 14:25,40.71613915,-73.99915329
Fire-2nd Alarm,965 Belmont Avenue,Brooklyn,03/03/2020 3:27,03/03/2020 15:05,40.67397461,-73.87292169
Administration-OEM Involved MVA,Red Cross Place & Cadman Plaza,Brooklyn,03/02/2020 12:44,03/04/2020 6:57,40.699521,-73.989837
Utility-Water Main,Farragut Road & East 78th Street,Brooklyn,03/03/2020 11:03,03/05/2020 11:12,40.637862,-73.91844
Utility-Water Main,Bedford Avenue  & North 7th Street,Brooklyn,03/04/2020 5:13,03/05/2020 18:16,40.717827,-73.9577295
Transportation-Train Subway,132 East 53 Street,Manhattan,03/06/2020 18:05,03/06/2020 20:11,40.75834677,-73.97108547
HazMat-Other,200 Vesey Street,Manhattan,03/06/2020 14:39,03/06/2020 21:33,40.71378577,-74.01416369
Fire-2nd Alarm,38 foothill court,Brooklyn,03/06/2020 18:20,03/06/2020 22:42,40.53678413,-74.21323391
Structural-Other,108-28 Springfield Boulevard,Queens,03/08/2020 3:52,03/08/2020 5:22,40.709079,-73.738287
Utility-Water Main,554 West 48 Street,New York,03/08/2020 8:05,03/08/2020 23:04,40.76439521,-73.99505642
Utility-Gas High Pressure,395 Ashland Avenue,Staten Island,03/09/2020 11:31,03/09/2020 14:06,40.52954683,-74.20549577
Structural-Collapse,201-14 Hollis Avenue,Queens,03/09/2020 15:45,03/09/2020 18:04,40.7062721,-73.75601095
Fire-2nd Alarm,20 West Mosholu Parkway South,Bronx,03/10/2020 3:02,03/10/2020 7:07,40.88011476,-73.88590328
Utility-Other,4500 parsons blvd,queens,09/05/2017 21:07,09/06/2017 0:41,40.75553236,-73.81561722
Law Enforcement-Other,8301 Shore Road,Brooklyn,12/13/2017 11:09:21 AM,12/13/2017 02:00:16 PM,40.62790567,-74.03995538
Fire-3rd Alarm,3400 Fulton Street,Brooklyn,02/27/2019 05:06:17 AM,02/27/2019 12:06:47 PM,40.68420312,-73.87010627
Utility-Gas High Pressure,Everitt Place & Linden Boulevard,Queens,03/10/2020 9:01,03/10/2020 16:43,40.691862,-73.763892
Fire-School,257 Beach 17 Street,Queens,03/10/2020 16:09,03/10/2020 17:35,40.59639145,-73.75124748
Fire-3rd Alarm,97-12 Northern Boulevard,Queens,03/10/2020 19:45,03/11/2020 1:40,40.75706245,-73.87082857
Fire-2nd Alarm,326 west 17th street,Manhattan,03/11/2020 10:23,03/11/2020 13:01,40.74192998,-74.00194411
Law Enforcement-Device,80-41 242nd Street,Queens,03/12/2020 13:06,03/12/2020 14:06,40.7394979,-73.72657045
Structural-Collapse,1978 Madison Avenue,Manhattan,03/12/2020 14:57,03/12/2020 20:02,40.80661631,-73.94007801
Fire-2nd Alarm,109-05 221st Street,Queens,03/13/2020 08:22:35 AM,03/13/2020 11:50:35 AM,40.70783623,-73.73503379
Fire-2nd Alarm,710 East 180th Street,Bronx,03/12/2020 8:27,03/13/2020 01:47:29 PM,40.84790256,-73.88842748
Rescue-Technical,Livingston Street & Bond Street,Brooklyn,03/13/2020 12:16:45 PM,03/13/2020 01:48:59 PM,40.688793,-73.983582
Transportation-Train Subway,West 31st Street & 8th Avenue,Manhattan,03/13/2020 07:04:21 PM,03/13/2020 09:15:17 PM,40.75029,-73.994859
Fire-3rd Alarm,1299 Shakespeare Avenue,Bronx,03/15/2020 06:14:18 AM,03/15/2020 08:31:20 PM,40.83987447,-73.92250425
Utility-Other,200 West 15th Street,Manhattan,03/12/2020 19:59,03/16/2020 12:06:36 PM,40.73920005,-73.99927298
Fire-1st Alarm,89 East 42 Street,Manhattan,03/16/2020 11:21:16 AM,03/16/2020 01:46:51 PM,40.75234411,-73.97792489
Fire-Other,1805 Crotona Avenue,Bronx,03/16/2020 04:45:07 PM,03/16/2020 05:09:36 PM,40.84259898,-73.89378048
Fire-3rd Alarm,550 Rockaway Avenue,Brooklyn,03/16/2020 04:59:16 PM,03/16/2020 07:40:55 PM,40.66658347,-73.90996046
Structural-Other,625 Madison Avenue,Manhattan,03/17/2020 08:22:56 PM,03/17/2020 09:30:37 PM,40.76337287,-73.97149236
Fire-2nd Alarm,152 Parkside Avenue,Brooklyn,03/18/2020 05:10:11 AM,03/18/2020 07:47:00 AM,40.65421214,-73.96346905
HazMat-High Carbon Monoxide,124 W 24 St,Manhattan,03/19/2020 01:10:42 PM,03/19/2020 02:32:07 PM,40.74380566,-73.99306077
Structural-Parapet,61 East Mount Eden Avenue,Bronx,03/21/2020 09:09:33 AM,03/22/2020 03:42:25 PM,40.843935,-73.9134765
Fire-2nd Alarm,693 Cauldwell Avenue,Bronx,03/23/2020 03:14:28 AM,,40.81773478,-73.90920665
Fire-2nd Alarm,215 Mount Hope Place,Bronx,03/23/2020 05:48:31 PM,03/23/2020 07:49:00 PM,40.848444,-73.905345
Fire-10-76 (Commercial High Rise Fire),1195 Broadway,Manhattan,03/24/2020 08:39:25 AM,03/24/2020 09:46:38 AM,40.74570393,-73.98871139
Transportation-Tanker Truck,Long Island Expressway  & 48th Street,Queens,03/24/2020 09:46:36 AM,03/24/2020 01:32:22 PM,40.731993,-73.9191015
Fire-1st Alarm,broadway  & Hooper Street,Brooklyn,03/24/2020 01:04:43 PM,03/24/2020 01:39:51 PM,40.707072,-73.953999
Fire-Hospital,3450 Bainbridge Avenue,Bronx,03/25/2020 12:00:08 AM,03/25/2020 01:23:27 AM,40.88033092,-73.87867394
Fire-Collapse,1921 East 14th Street,Brooklyn,03/25/2020 12:22:46 PM,03/25/2020 04:34:38 PM,40.60293536,-73.95809068
Fire-2nd Alarm,442 Jackson Avenue,Bronx,03/27/2020 06:08:47 PM,03/27/2020 07:52:57 PM,40.8103838,-73.91006348
Fire-2nd Alarm,Central Park North  & Lenox Avenue,Manhattan,03/27/2020 03:36:54 AM,03/27/2020 10:12:43 PM,40.798287,-73.952559
Fire-2nd Alarm,1960 Park Avenue,Manhattan,03/29/2020 04:51:50 PM,03/29/2020 05:53:41 PM,40.8096718,-73.93591354
Law Enforcement-Suspicious Package,442 97 Street,Brooklyn,08/04/2017 17:35,08/04/2017 18:08,40.61439226,-74.0311868
Fire-1st Alarm,490 East 91 Street,Manhattan,10/22/2017 03:11:56 PM,11/17/2017 09:37:09 AM,,
Rescue-High Angle,111 Murray Street,Manhattan,05/11/2018 8:58,05/11/2018 12:23,40.71510636,-74.0123201
Fire-2nd Alarm,1924 West 5th Street,Brooklyn,04/20/2019 09:32:25 PM,04/20/2019 10:39:04 PM,40.6006321,-73.97729856
Fire-2nd Alarm,99 Schenectady Avenue,Brooklyn,03/31/2020 12:19:07 PM,03/31/2020 02:21:41 PM,40.67582565,-73.93320359
Fire-3rd Alarm,1241 Hancock Street,Brooklyn,03/31/2020 08:15:08 PM,03/31/2020 10:44:07 PM,40.6924859,-73.91095731
Fire-3rd Alarm,1560 Grand Concourse,Bronx,03/31/2020 07:38:48 PM,03/31/2020 11:21:50 PM,40.8424606,-73.9119894
Fire-2nd Alarm,37-55 79 Street,Queens,04/04/2020 16:31,04/04/2020 19:44,40.74789397,-73.88679065
Fire-1st Alarm,1520 Brook Avenue,Bronx,04/05/2020 9:22,04/05/2020 11:37,40.83883206,-73.90488406
Utility-Water Main,585 Schenectady,Brooklyn,04/07/2020 18:35,04/07/2020 19:20,40.659399,-73.9337085
Transportation-Train Elevated,Westchester Avenue  & Hugh J. Grant Circle,Bronx,04/10/2020 15:35,04/10/2020 21:23,40.833279,-73.8603495
Transportation-Other,Hutchinson River Parkway & New England Thruway,Bronx,04/11/2020 0:08,04/11/2020 6:19,40.886658,-73.8153405
Law Enforcement-Suspicious Package,212 West 82nd Street,Manhattan,04/11/2020 14:46,04/11/2020 17:24,40.78521515,-73.97736593
Transportation-Other,18th Avenue & 52 Street,Brooklyn,04/12/2020 0:51,04/12/2020 1:58,40.626594,-73.9827
Fire-Other,West 31 Street  & 8th Avenue,Manhattan,04/13/2020 01:06:01 PM,04/13/2020 01:38:21 PM,40.75029,-73.994859
Structural-Other,133-29 222 Street,Queens,04/13/2020 01:23:22 PM,04/13/2020 04:27:37 PM,40.67885599,-73.74711162
Structural-Scaffold,425 Park Avenue,Manhattan,04/13/2020 02:00:43 PM,04/13/2020 05:26:04 PM,40.76041419,-73.97141202
Fire-3rd Alarm,2528 Cruger Avenue,Bronx,03/27/2020 09:22:13 PM,04/16/2020 04:08:02 PM,40.86395318,-73.86636409
Fire-Collapse,92 Madison Street,Brooklyn,04/11/2020 15:37,04/17/2020 11:25:41 AM,40.68412152,-73.95543673
Structural-Other,29 West Kings Bridge Road,Bronx,04/17/2020 12:47:56 PM,04/17/2020 03:04:29 PM,40.86782233,-73.89902633
Fire-3rd Alarm,585 Quincy Street,Brooklyn,04/19/2020 10:33:39 PM,04/21/2020 10:34:26 AM,40.68867995,-73.93590311
Fire-2nd Alarm,726 Leonard Street,Brooklyn,04/22/2020 06:07:13 AM,04/22/2020 07:38:38 AM,40.72940845,-73.95292946
Transportation-Payload Truck,Brooklyn Queens Expressway and Cadman Plaza West,Brooklyn,04/22/2020 03:39:03 AM,04/22/2020 10:39:02 AM,40.701681,-73.991979
Fire-Collapse,4036 Ninth Avenue,Manhattan,04/21/2020 03:56:04 PM,04/22/2020 12:05:00 PM,40.86928993,-73.91304205
Fire-Other,Woodhaven Blvd & Long Island Expressway,Queens,04/22/2020 11:21:52 AM,04/22/2020 02:12:53 PM,40.731858,-73.871379
Utility-Power Outage,Elmira Loop & Schroeders Avenue,Brooklyn,04/22/2020 09:01:08 PM,04/22/2020 10:47:20 PM,40.648419,-73.880118
Fire-2nd Alarm,439 Beach 66 Street,Queens,04/15/2020 09:44:53 AM,04/24/2020 11:06:24 AM,40.59411143,-73.79530022
Law Enforcement-Device,71-43 Kissena Boulevard,Queens,04/29/2020 03:58:32 PM,04/29/2020 05:30:23 PM,40.72900014,-73.81518263
Medical-Public Health,111 Wall Street,Manhattan,04/03/2020 12:17,04/30/2020 02:17:05 PM,40.70470226,-74.00685095
Structural-Falling Debris,2401 Third Avenue,Bronx,04/30/2020 02:58:46 PM,04/30/2020 04:25:09 PM,40.80816333,-73.93130297
Utility-Water Main,Broadway  & 21st,Queens,05/02/2020 11:13,05/02/2020 12:31,40.765221,-73.931688
Utility-Power Outage,2776 Schley Avenue,Bronx,03/08/2018 22:31,03/09/2018 0:29,40.82265627,-73.82495816
Fire-2nd Alarm,112 East 198th Street,Bronx,08/25/2018 03:55:33 AM,08/25/2018 06:18:08 AM,40.87043288,-73.89151684
Fire-2nd Alarm,612 West 184th Street,Manhattan,12/04/2018 3:09,12/04/2018 8:23,40.85134895,-73.93316161
Fire-4th Alarm,15-02 Mott Ave,Queens,02/15/2019 02:55:56 AM,02/15/2019 07:16:47 AM,40.602169,-73.74908689
Utility-Other,7th Avenue  & West 26th Street,Manhattan,03/26/2019 07:54:27 AM,03/26/2019 09:27:18 AM,40.745988,-73.9942605
Medical-Public Health,marine terminal road & fiorello lane,Queens,03/26/2020 02:05:52 AM,05/02/2020 16:20,40.770738,-73.8852705
Fire-4th Alarm,423 East 70th Street,Manhattan,05/02/2020 13:26,05/02/2020 17:22,40.76634464,-73.9563956
Fire-1st Alarm,644 East 232 Street,Bronx,05/02/2020 18:35,05/02/2020 21:02,40.89335063,-73.85972582
Fire-Other,East 59 Street  & Lexington Avenue,Manhattan,05/03/2020 11:49,05/03/2020 13:09,40.762233,-73.968201
Fire-3rd Alarm,307 Bruckner Boulevard,Bronx,05/04/2020 14:01,05/05/2020 11:00,40.80574218,-73.91029331
Utility-Gas High Pressure,56-22 49th Street,Queens,05/05/2020 14:42,05/05/2020 17:10,40.72594029,-73.91953533
Structural-Evacuation,35-02 Northern Blvd,Queens,05/06/2020 11:48,05/06/2020 17:44,40.75200261,-73.92897668
Structural-Partial Collapse,3531 White Plains Road,Bronx,05/07/2020 12:40,05/07/2020 15:10,40.87819178,-73.86604794
Fire-2nd Alarm,2840 Sedgwick Avenue,Bronx,05/08/2020 1:29,05/08/2020 3:51,40.87351399,-73.90177022
Medical-Public Health,2037 Utica Avenue,Brooklyn,04/30/2020 07:13:09 AM,05/08/2020 11:41,40.62199439,-73.92718575
Medical-Public Health,4123 Fourth Avenue,Brooklyn,05/05/2020 15:36,05/08/2020 11:49,40.65100306,-74.00771653
Medical-Public Health,2203 Avenue Z,Brooklyn,05/02/2020 20:55,05/08/2020 11:52,40.58876553,-73.94718343
Fire-3rd Alarm,241 West 101 Street,Manhattan,05/07/2020 16:30,05/08/2020 15:29,40.79808094,-73.96982929
Structural-Scaffold,114 East 14th Street,Manhattan,05/08/2020 13:56,05/08/2020 16:11,40.73390844,-73.98888253
Structural-Falling Debris,37 West 116th Street,Manhattan,05/09/2020 10:19,05/09/2020 11:18,40.80695556,-73.96120084
Fire-Other,president street  & nostrand ave,Brooklyn,05/09/2020 22:56,05/09/2020 23:34,40.668057,-73.950651
Transportation-Car,6000 Amboy Road,Staten Island,05/10/2020 3:05,05/10/2020 5:24,40.52524009,-74.20716679
Fire-2nd Alarm,7 Gabriel Drive,Bronx,05/11/2020 7:35,05/11/2020 10:20,40.86347845,-73.85085574
Utility-Power Outage,West 108th Street  & Central Park West,Manhattan,05/11/2020 9:35,05/11/2020 17:01,40.799349,-73.9590705
Utility-Gas High Pressure,Beacon Place & Finley Avenue,Staten Island,05/12/2020 13:29,05/12/2020 14:35,40.565187,-74.102652
Utility-Other,238 85th Street,Brooklyn,05/12/2020 22:51,05/13/2020 12:45:41 AM,40.62465793,-74.03222421
Fire-Other,East 138th Street  & Bruckner Boulevard,Bronx,05/13/2020 09:40:35 AM,05/13/2020 10:36:55 AM,40.804704,-73.912482
Fire-2nd Alarm,150 Clinton Place,Staten Island,05/14/2020 12:47:03 AM,05/14/2020 03:08:41 AM,40.63332585,-74.14019744
Transportation-Car,3142 Richmond Terrace,Staten Island,05/14/2020 02:54:58 AM,05/14/2020 04:51:14 AM,40.63912694,-74.16379029
Fire-Sensitive Location,150 Park Row,Manhattan,05/14/2020 10:55:55 AM,05/14/2020 11:41:03 AM,40.71307073,-74.00132763
Utility-Power Outage,811 Hicks street,Brooklyn,04/18/2017 07:52:54 PM,04/19/2017 01:31:21 AM,40.67515542,-74.00547979
Fire-Other,646 39th Street,Brooklyn,06/23/2017 02:01:14 PM,06/23/2017 02:44:06 PM,40.64919549,-74.00049596
Utility-Water Main,62-25 30 Avenue,Queens,09/05/2017 10:36,09/06/2017 7:22,40.75976535,-73.90012647
Fire-2nd Alarm,346 Broadway,New York,03/09/2018 0:42,03/09/2018 3:13,,
Utility-Water Service Line,Baisley Blvd & 119th Rd.,Jamaica,03/09/2018 14:26,03/10/2018 10:03,40.686462,-73.768212
Fire-2nd Alarm,601 West 180th,New York,01/03/2019 21:48,01/04/2019 2:12,40.84879519,-73.93454937
Fire-3rd Alarm,735 East 242 Street,Bronx,02/18/2019 12:14:25 PM,02/18/2019 02:14:59 PM,40.90543197,-73.84814686
HazMat-High Carbon Monoxide,900 Fulton Street,Brooklyn,04/18/2019 03:23:56 PM,04/18/2019 05:06:42 PM,40.68296496,-73.96485955
Aviation-Small Aircraft,New Dorp Lane & Hylan Blvd,Staten Island,05/01/2019 17:59,05/02/2019 8:50,40.570515,-74.109843
Medical-Public Health,124-02 Roosevelt Avenue,Queens,04/16/2020 09:55:39 AM,05/14/2020 03:22:47 PM,40.75483882,-73.84468069
Rescue-Technical,230 East 54th Street,Manhattan,05/15/2020 11:19:05 AM,05/15/2020 12:28:37 PM,40.7579635,-73.96825496
Structural-Other,75-34 150th Street,Queens,05/15/2020 07:30:32 PM,05/15/2020 08:56:42 PM,40.72444007,-73.81575796
Law Enforcement-Device,East 161st Street  & Park Avenue,Bronx,05/16/2020 01:26:39 PM,05/16/2020 02:56:18 PM,40.82499,-73.9165815
Transportation-Other,Kent Avenue & Williamsberg Street,Brooklyn,05/17/2020 03:45:26 PM,05/17/2020 04:38:24 PM,40.699917,-73.961721
Fire-2nd Alarm,662 East 240th Street,Bronx,05/18/2020 01:55:25 AM,05/18/2020 03:17:19 AM,40.90260031,-73.85283337
Law Enforcement-Device,112-04 167 Street,Queens,05/18/2020 12:04:29 PM,05/18/2020 01:20:45 PM,40.69138516,-73.78320443
Utility-Gas High Pressure,Keegans Lane & Durant Avenue,Staten Island,05/19/2020 01:47:30 PM,05/19/2020 02:45:24 PM,40.551084,-74.139489
Structural-Street Collapse,50-18 Roosevelt Avenue,Queens,05/20/2020 06:14:53 PM,05/20/2020 08:12:39 PM,40.74359029,-73.91433195
Structural-Partial Collapse,380 Flushing Avenue,Brooklyn,05/21/2020 08:27:30 PM,05/21/2020 09:39:20 PM,40.69859811,-73.95916231
Utility-Manhole,170-05 Highland Avenue,Queens,05/23/2020 01:10:43 PM,05/23/2020 03:31:39 PM,40.71260843,-73.79288992
Utility-Water Main,86-11 Midland Parkway,Queens,05/23/2020 12:04:35 AM,05/23/2020 06:05:41 PM,40.71597238,-73.78372101
Fire-3rd Alarm,26 Oxford Place,Staten Island,05/23/2020 06:20:38 PM,05/23/2020 10:58:56 PM,40.63388744,-74.08720489
HazMat-High Carbon Monoxide,175 West 85 Street,Manhattan,10/17/2019 04:40:45 PM,,,
Fire-2nd Alarm,619 East 77th Street,Brooklyn,05/25/2020 07:58:53 PM,05/25/2020 09:36:46 PM,40.63699156,-73.91866863
Utility-Water Service Line,50-15 Beach Channel Drive,Queens,10/17/2019 09:46:56 PM,,40.71400364,-73.82998933
Fire-Sensitive Location,59th Street and Central Park West,Manhattan,05/26/2020 07:51:26 PM,05/26/2020 08:01:18 PM,40.768056,-73.981431
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,05/15/2017 11:18:57 AM,40.71400364,-73.82998933
Fire-Manhole,1st Avenue & East 70 Street,Manhattan,05/30/2017 05:48:13 PM,05/30/2017 11:33:30 PM,40.71442154,-74.00607638
Utility-Steam Main,2nd Avenue & East 50 Street,Manhattan,08/04/2017 8:07,08/04/2017 23:43,40.754862,-73.968543
Structural-Collapse,32-57 110 Street,Queens,08/10/2017 10:20,08/16/2017 06:49:18 AM,40.75853672,-73.86002478
Structural-Other,2414 Pitkin Avenue,Brooklyn,03/09/2018 21:34,03/10/2018 13:04,40.67372865,-73.88318598
Structural-Street Collapse,Manhattan Avenue & 101st street,Brooklyn,08/09/2018 13:59,08/10/2018 0:19,40.7281929,-73.95332558
Rescue-Confined Space,1465 Bronx River Avenue,Bronx,01/04/2019 10:45,01/04/2019 12:09,40.83579219,-73.8778318
Fire-2nd Alarm,166-11 91 Avenue,Queens,01/16/2019 11:45:13 PM,01/18/2019 08:43:13 PM,40.70673504,-73.79397466
Utility-Water Main,455 Madison Avenue,Manhattan,05/26/2020 06:25:24 PM,05/27/2020 11:06:13 AM,40.75798965,-73.97542446
Utility-Water Main,West 238th Street  & Broadway,Bronx,05/28/2020 05:50:42 PM,05/29/2020 09:48:46 AM,40.88511,-73.900701
Utility-Sewer Service,16-15 Central Avenue,Queens,05/29/2020 11:31:48 AM,05/29/2020 02:57:56 PM,40.60491997,-73.75217778
Fire-2nd Alarm,1038 Dekalb Avenue,Brooklyn,06/01/2020 1:23,06/01/2020 2:55,40.6934036,-73.93337047
